x (m),Temperature (K),Tw(K),Velocity (m/s),Heat Release Rate (J/s/m3),X_HE,X_AR,X_N2,X_H2,X_O2,X_H,X_O,X_OH,X_HO2,X_H2O,X_H2O2,X_OH*,X_N,X_NH3,X_NH2,X_NH,X_NNH,X_NO,X_N2O,X_HNO,X_HON,X_H2NO,X_HNOH,X_NH2OH,X_NO2,X_HONO,X_HNO2,X_NO3,X_HONO2,X_N2H2,X_H2NN,X_N2H4,X_N2H3
0.063375,1398.68,1394.62,0.102754,1.497e+06,2.61568e-20,0.621717,0.0265171,0.00122089,0.114403,4.23108e-07,1.51961e-07,7.86719e-07,8.193e-06,0.0859104,1.25762e-07,5.30633e-17,4.72245e-10,0.149145,0.000150336,4.66284e-07,1.27338e-10,0.000147332,0.000694367,2.6214e-06,1.88946e-06,1.19176e-05,3.0346e-07,7.45584e-07,1.2992e-05,7.14892e-08,1.97712e-10,1.0998e-11,2.71499e-12,4.88187e-05,1.77245e-07,3.48302e-06,8.05017e-07
0.0637813,1398.51,1394.22,0.102788,1.49915e+06,2.61524e-20,0.621454,0.0274467,0.00122977,0.112948,4.31619e-07,1.54077e-07,8.1869e-07,8.09714e-06,0.0885084,1.23095e-07,5.5655e-17,4.89464e-10,0.147314,0.000150691,4.73176e-07,1.27718e-10,0.00014672,0.000707551,2.64141e-06,1.94599e-06,1.18036e-05,3.00452e-07,7.30814e-07,1.29142e-05,7.06034e-08,1.95197e-10,1.08801e-11,2.81403e-12,4.92864e-05,1.80616e-07,3.51928e-06,8.1165e-07
0.0641875,1398.21,1393.81,0.10281,1.49536e+06,2.61481e-20,0.6212,0.0283566,0.00123668,0.111526,4.38461e-07,1.55603e-07,8.48229e-07,7.9959e-06,0.0910398,1.2044e-07,5.78842e-17,5.03717e-10,0.145531,0.000150685,4.78077e-07,1.27538e-10,0.00014587,0.000719284,2.65313e-06,2.00102e-06,1.1675e-05,2.96935e-07,7.15947e-07,1.28237e-05,6.96523e-08,1.9245e-10,1.07492e-11,2.90603e-12,4.96127e-05,1.83269e-07,3.54646e-06,8.16402e-07
0.0645938,1397.81,1393.41,0.102824,1.4866e+06,2.61439e-20,0.620956,0.0292445,0.00124162,0.110141,4.43776e-07,1.56615e-07,8.75514e-07,7.89176e-06,0.0934993,1.17803e-07,5.97717e-17,5.15288e-10,0.143799,0.000150385,4.81302e-07,1.26893e-10,0.000144828,0.000729555,2.65776e-06,2.05444e-06,1.15353e-05,2.93057e-07,7.01152e-07,1.27212e-05,6.86402e-08,1.89503e-10,1.06048e-11,2.99005e-12,4.98095e-05,1.85241e-07,3.56487e-06,8.19285e-07
0.065,1397.34,1393,0.102831,1.47349e+06,2.61399e-20,0.620722,0.0301084,0.00124464,0.108796,4.47626e-07,1.57147e-07,9.00499e-07,7.78559e-06,0.0958819,1.15198e-07,6.1308e-17,5.2425e-10,0.142122,0.000149825,4.82993e-07,1.25842e-10,0.000143623,0.000738371,2.65597e-06,2.10617e-06,1.13869e-05,2.88894e-07,6.86532e-07,1.26082e-05,6.75787e-08,1.86396e-10,1.0449e-11,3.06589e-12,4.98869e-05,1.86573e-07,3.57531e-06,8.20435e-07
0.0654062,1396.76,1392.39,0.102828,1.45647e+06,2.61361e-20,0.620498,0.0309461,0.00124575,0.107493,4.50013e-07,1.57198e-07,9.22929e-07,7.67698e-06,0.0981831,1.12644e-07,6.24501e-17,5.30508e-10,0.140503,0.000149017,4.83157e-07,1.24407e-10,0.00014227,0.000745747,2.64804e-06,2.15614e-06,1.12314e-05,2.84457e-07,6.72142e-07,1.24865e-05,6.64847e-08,1.83166e-10,1.02851e-11,3.13431e-12,4.98525e-05,1.87312e-07,3.57898e-06,8.20088e-07
0.0658125,1396.11,1391.78,0.102819,1.43579e+06,2.61323e-20,0.620285,0.0317559,0.00124501,0.106236,4.50963e-07,1.56797e-07,9.42785e-07,7.56722e-06,0.100399,1.10134e-07,6.32137e-17,5.34087e-10,0.138946,0.000147983,4.81891e-07,1.22629e-10,0.000140783,0.000751703,2.63425e-06,2.20428e-06,1.107e-05,2.79823e-07,6.58046e-07,1.23563e-05,6.53567e-08,1.79824e-10,1.01123e-11,3.19397e-12,4.97114e-05,1.87439e-07,3.57541e-06,8.18149e-07
0.066625,1394.59,1390.56,0.102779,1.38497e+06,2.61255e-20,0.619891,0.0332865,0.00123809,0.103865,4.48464e-07,1.54643e-07,9.74055e-07,7.34469e-06,0.104564,1.05243e-07,6.35606e-17,5.3281e-10,0.136021,0.000145245,4.75041e-07,1.18087e-10,0.000137421,0.00075944,2.58894e-06,2.29487e-06,1.07317e-05,2.70027e-07,6.30797e-07,1.20705e-05,6.30038e-08,1.72827e-10,9.74024e-12,3.28451e-12,4.91135e-05,1.85792e-07,3.54606e-06,8.09402e-07
0.0674375,1392.37,1388.47,0.102681,1.31782e+06,2.61197e-20,0.619539,0.034694,0.00122447,0.101692,4.39298e-07,1.50324e-07,9.9013e-07,7.10631e-06,0.108366,1.006e-07,6.19297e-17,5.17581e-10,0.133357,0.000141378,4.60868e-07,1.12008e-10,0.000133434,0.000762376,2.51602e-06,2.37791e-06,1.03695e-05,2.59095e-07,6.04547e-07,1.17599e-05,6.06122e-08,1.65527e-10,9.35738e-12,3.34391e-12,4.80919e-05,1.81655e-07,3.49225e-06,7.95506e-07
0.06825,1389.42,1385.62,0.102522,1.23677e+06,2.61149e-20,0.619229,0.0359713,0.00120472,0.0997247,4.23581e-07,1.43928e-07,9.8971e-07,6.85325e-06,0.111794,9.61815e-08,5.84419e-17,4.88674e-10,0.130963,0.000136399,4.39541e-07,1.04537e-10,0.000128824,0.000760994,2.41581e-06,2.45316e-06,9.98513e-06,2.47133e-07,5.7928e-07,1.14237e-05,5.81788e-08,1.5794e-10,8.96296e-12,3.36898e-12,4.66514e-05,1.74999e-07,3.41288e-06,7.76338e-07
