x (m),Temperature (K),Tw(K),Velocity (m/s),Heat Release Rate (J/s/m3),X_h2,X_h,X_ch4,X_ch3,X_ch2,X_ch,X_ch2o,X_hco,X_co2,X_co,X_o2,X_o,X_oh,X_ho2,X_h2o2,X_h2o,X_c2h,X_hcco,X_c2h2,X_c2h3,X_c2h4,X_c2h5,X_c2h6,X_ch2oh,X_ch3o,X_hccoh,X_h2ccch,X_c3h2,X_ch2(s),X_ch2co,X_c2o,X_hcoh,X_ch3oh,X_ch2hco,X_c3h6,X_ac3h5,X_pc3h5,X_sc3h5,X_ch2chcho,X_pc3h4,X_ac3h4,X_ch3co,X_ch2chco,X_ch3chco,X_ch3hco,X_chocho,X_ic3h7,X_nc3h7,X_c2h5oh,X_c2h4oh,X_ch3choh,X_ch3ch2o,X_ch2chch2o,X_hcooh,X_c3h8,X_hoc2h4o2,X_n2
0.0476562,925.558,923.744,0.0632293,9.66953e+06,0.0058437,2.27619e-08,0.00524858,3.80245e-06,3.72522e-12,2.66665e-19,0.00364086,2.553e-09,0.000536192,0.00973583,0.17587,7.5362e-10,3.92435e-08,5.30535e-05,0.00268529,0.0250259,5.92099e-16,3.44098e-11,2.80264e-06,5.48558e-10,0.00279318,5.31376e-08,0.000246163,3.07131e-11,3.07498e-08,5.07588e-10,9.99944e-12,3.73669e-15,9.60791e-14,1.94573e-05,1.15173e-17,5.31767e-16,5.00409e-05,1.69151e-07,2.48307e-05,8.50027e-09,6.28404e-13,1.14009e-11,3.34866e-06,2.09362e-08,3.10591e-08,1.80391e-09,1.28445e-10,3.58523e-07,0.00622204,3.54912e-12,3.55932e-10,3.82147e-10,0.0478853,5.10735e-08,1.0907e-09,4.39521e-09,2.38303e-12,0.000334556,3.49116e-06,4.4418e-08,0.713771
0.0477344,930.277,927.166,0.0636918,1.13312e+07,0.00607231,2.57982e-08,0.00571082,4.20009e-06,4.76799e-12,3.99964e-19,0.0038818,3.20048e-09,0.000633101,0.0109836,0.173975,9.07876e-10,4.55854e-08,5.64721e-05,0.00276233,0.0273841,8.32044e-16,4.79111e-11,3.28751e-06,7.03445e-10,0.00301643,6.5754e-08,0.00027984,3.80808e-11,3.42828e-08,6.24453e-10,1.41311e-11,5.87425e-15,1.23348e-13,2.30543e-05,1.88307e-17,6.88951e-16,5.60598e-05,2.05782e-07,2.83775e-05,1.04801e-08,8.60363e-13,1.56152e-11,3.97006e-06,2.50917e-08,3.77561e-08,2.05375e-09,1.60379e-10,4.37524e-07,0.00659196,4.35604e-12,4.72012e-10,4.70201e-10,0.0461544,5.32801e-08,1.19809e-09,4.79392e-09,3.01429e-12,0.000381158,4.24662e-06,4.20224e-08,0.711992
0.0478125,935.137,930.587,0.0641752,1.32303e+07,0.00630489,2.91784e-08,0.0061942,4.6248e-06,6.07483e-12,5.98624e-19,0.00411525,3.98549e-09,0.000745697,0.0123534,0.171954,1.09409e-09,5.28448e-08,5.99894e-05,0.00282504,0.0298964,1.16643e-15,6.64058e-11,3.84985e-06,8.9753e-10,0.00324395,8.08875e-08,0.000316523,4.70059e-11,3.79758e-08,7.67343e-10,1.98826e-11,9.17167e-15,1.57557e-13,2.72176e-05,3.06117e-17,8.8874e-16,6.25014e-05,2.4889e-07,3.22666e-05,1.28776e-08,1.17119e-12,2.12661e-11,4.6855e-06,2.9978e-08,4.57688e-08,2.32167e-09,1.98671e-10,5.32107e-07,0.0069469,5.31633e-12,6.22921e-10,5.75078e-10,0.0443249,5.52422e-08,1.31034e-09,5.19985e-09,3.78892e-12,0.000431673,5.1358e-06,3.94128e-08,0.710145
0.0478906,940.139,934.009,0.0646796,1.53854e+07,0.00654069,3.29407e-08,0.00669629,5.07619e-06,7.70531e-12,8.94701e-19,0.00433703,4.92892e-09,0.000875855,0.0138479,0.169809,1.31911e-09,6.11312e-08,6.35849e-05,0.00287138,0.0325601,1.63081e-15,9.15848e-11,4.49935e-06,1.13918e-09,0.00347353,9.89186e-08,0.000356108,5.77578e-11,4.17874e-08,9.41418e-10,2.78395e-11,1.42152e-14,2.00218e-13,3.20037e-05,4.94559e-17,1.14137e-15,6.93293e-05,2.99205e-07,3.64911e-05,1.5766e-08,1.5846e-12,2.87882e-11,5.50233e-06,3.56884e-08,5.53024e-08,2.60515e-09,2.44047e-10,6.44604e-07,0.00728065,6.44624e-12,8.17946e-10,6.98968e-10,0.0424041,5.69161e-08,1.42648e-09,5.60775e-09,4.73082e-12,0.000485803,6.17194e-06,3.66397e-08,0.708237
0.0479688,945.281,937.431,0.0652049,1.78099e+07,0.00677886,3.71249e-08,0.00721407,5.55316e-06,9.72877e-12,1.3358e-18,0.00454282,6.05161e-09,0.00102549,0.0154681,0.167543,1.59101e-09,7.05531e-08,6.72297e-05,0.00289953,0.0353698,2.27282e-15,1.25621e-10,5.24605e-06,1.43781e-09,0.00370268,1.20242e-07,0.000398403,7.06271e-11,4.5664e-08,1.15259e-09,3.87697e-11,2.18558e-14,2.53045e-13,3.74654e-05,7.93495e-17,1.45883e-15,7.64923e-05,3.57391e-07,4.10344e-05,1.92261e-08,2.12981e-12,3.87179e-11,6.4265e-06,4.23179e-08,6.65771e-08,2.90059e-09,2.97141e-10,7.77458e-07,0.00758689,7.7591e-12,1.06828e-09,8.43985e-10,0.0404018,5.82603e-08,1.54511e-09,6.01108e-09,5.86455e-12,0.000543083,7.36649e-06,3.37587e-08,0.706277
0.0480469,950.551,940.731,0.06575,2.0509e+07,0.00701842,4.17687e-08,0.00774396,6.0536e-06,1.2223e-11,1.99197e-18,0.00472834,7.37241e-09,0.0011965,0.0172123,0.16516,1.91912e-09,8.12076e-08,7.08858e-05,0.00290797,0.0383172,3.15514e-15,1.71241e-10,6.10012e-06,1.80367e-09,0.0039287,1.45242e-07,0.000443121,8.59137e-11,4.95394e-08,1.40755e-09,5.36595e-11,3.33035e-14,3.17901e-13,4.36485e-05,1.26297e-16,1.85464e-15,8.39234e-05,4.23958e-07,4.58688e-05,2.33438e-08,2.84178e-12,5.16993e-11,7.462e-06,4.996e-08,7.98246e-08,3.20323e-09,3.58423e-10,9.33146e-07,0.00785944,9.26332e-12,1.38707e-09,1.01198e-09,0.0383302,5.92361e-08,1.66431e-09,6.4019e-09,7.2138e-12,0.000602879,8.72802e-06,3.08287e-08,0.704276
0.048125,955.941,943.95,0.0663137,2.34802e+07,0.0072583,4.69146e-08,0.00828184,6.57497e-06,1.52772e-11,2.96664e-18,0.00488952,8.90776e-09,0.00139071,0.0190763,0.16267,2.31444e-09,9.31883e-08,7.45099e-05,0.00289558,0.041391,4.35984e-15,2.31836e-10,7.07148e-06,2.24779e-09,0.00414875,1.74299e-07,0.000489869,1.03927e-10,5.334e-08,1.71368e-09,7.37618e-11,5.02531e-14,3.96821e-13,5.05876e-05,1.99217e-16,2.34411e-15,9.15405e-05,4.99263e-07,5.09547e-05,2.82116e-08,3.76181e-12,6.84963e-11,8.61021e-06,5.8702e-08,9.52812e-08,3.50735e-09,4.28132e-10,1.11408e-06,0.00809243,1.09602e-11,1.78957e-09,1.2045e-09,0.0362039,5.98137e-08,1.78196e-09,6.7719e-09,8.8004e-12,0.000664377,1.02611e-05,2.79047e-08,0.702245
0.0482031,961.441,947.169,0.0668945,2.67104e+07,0.00749731,5.26067e-08,0.00882314,7.11404e-06,1.89901e-11,4.41127e-18,0.00502267,1.06694e-08,0.00160977,0.0210532,0.160082,2.78967e-09,1.06575e-07,7.80527e-05,0.00286176,0.0445771,5.99234e-15,3.11504e-10,8.16932e-06,2.78156e-09,0.00435988,2.07754e-07,0.000538157,1.24971e-10,5.69853e-08,2.07893e-09,1.00632e-10,7.50247e-14,4.91935e-13,5.83015e-05,3.11079e-16,2.94397e-15,9.92469e-05,5.83419e-07,5.62403e-05,3.39251e-08,4.93721e-12,8.99878e-11,9.86923e-06,6.86206e-08,1.13179e-07,3.80642e-09,5.06194e-10,1.32244e-06,0.00828062,1.28414e-11,2.29295e-09,1.42254e-09,0.0340395,5.99725e-08,1.89561e-09,7.11238e-09,1.06423e-11,0.000726598,1.19649e-05,2.50379e-08,0.700197
0.0482812,967.031,950.387,0.0674901,3.01703e+07,0.00773417,5.88804e-08,0.0093629,7.66629e-06,2.34621e-11,6.54276e-18,0.00512472,1.26603e-08,0.00185505,0.0231328,0.157408,3.35864e-09,1.21406e-07,8.14555e-05,0.00280653,0.0478579,8.1836e-15,4.15004e-10,9.40148e-06,3.41554e-09,0.0045592,2.45854e-07,0.0005874,1.493e-10,6.03871e-08,2.51162e-09,1.36135e-10,1.10693e-13,6.05227e-13,6.67877e-05,4.80132e-16,3.67092e-15,0.000106934,6.76136e-07,6.16619e-05,4.05758e-08,6.41903e-12,1.17129e-10,1.12333e-05,7.97758e-08,1.33734e-07,4.09307e-09,5.92133e-10,1.56007e-06,0.00841965,1.4887e-11,2.91545e-09,1.66621e-09,0.0318555,5.96999e-08,2.00239e-09,7.41373e-09,1.27497e-11,0.000788412,1.38322e-05,2.22759e-08,0.698146
0.0483594,972.683,953.606,0.0680972,3.38097e+07,0.0079675,6.57559e-08,0.0098959,8.22569e-06,2.8785e-11,9.66351e-18,0.00519339,1.48705e-08,0.00212757,0.0253016,0.154663,4.03556e-09,1.37658e-07,8.46504e-05,0.00273056,0.0512132,1.109e-14,5.47571e-10,1.07738e-05,4.15808e-09,0.00474392,2.88686e-07,0.000636931,1.77077e-10,6.34513e-08,3.02003e-09,1.82416e-10,1.61172e-13,7.38232e-13,7.6017e-05,7.31051e-16,4.53979e-15,0.000114483,7.76582e-07,6.71455e-05,4.82433e-08,8.2584e-12,1.50885e-10,1.26922e-05,9.22049e-08,1.57132e-07,4.35925e-09,6.84998e-10,1.82819e-06,0.00850627,1.70632e-11,3.675e-09,1.93437e-09,0.029672,5.89934e-08,2.099e-09,7.66569e-09,1.51213e-11,0.000848576,1.58484e-05,1.96596e-08,0.696106
