x (m),Temperature (K),Tw(K),Velocity (m/s),Heat Release Rate (J/s/m3),X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_OHV,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_NO,X_NO2,X_N2O,X_HNO,X_N2H2,X_H2NN,X_N2H3,X_N2H4,X_H2NO,X_HNO2,X_HONO2,X_HNOH,X_HONO,X_HON,X_NO3,X_N2O4,X_N2O3,X_CO,X_CO2,X_CH4,X_C2H6,X_HE,X_AR,X_N2
0.063125,1489.83,1350.08,0.523315,8.66167e+07,0.0145514,0.000169209,3.22196e-05,0.0247118,0.000154084,0.265659,1.06181e-05,5.90505e-07,2.24858e-14,5.99473e-06,2.56105e-05,0.000315487,0.0155341,6.08281e-09,0.000914282,1.33342e-06,0.00163327,3.46698e-05,0.000142368,4.05503e-07,2.25485e-07,1.08798e-06,1.90888e-06,4.12279e-10,1.264e-19,1.54306e-07,7.69055e-08,1.4511e-12,3.93117e-11,3.16497e-19,8.92761e-17,1.25203e-20,0,0,0,1.84572e-20,4.54987e-32,0.6761
0.0631641,1491.24,1350.8,0.523937,8.76275e+07,0.0142372,0.000180405,3.37019e-05,0.0234211,0.000167119,0.267867,1.01203e-05,5.15821e-07,2.37947e-14,6.59225e-06,2.60098e-05,0.000307068,0.0142527,5.91804e-09,0.00092845,1.2133e-06,0.00159607,3.31438e-05,0.000129751,3.72463e-07,2.05954e-07,9.76566e-07,1.67944e-06,4.02176e-10,1.26651e-19,1.35979e-07,8.27481e-08,1.56904e-12,3.49561e-11,2.61198e-19,8.86588e-17,1.25186e-20,0,0,0,1.84579e-20,4.76668e-32,0.676799
0.0632031,1492.49,1351.51,0.524496,8.85287e+07,0.0139173,0.0001924,3.5248e-05,0.0221634,0.000181374,0.270013,9.63127e-06,4.50708e-07,2.51033e-14,7.22425e-06,2.63127e-05,0.000297829,0.0130283,5.72697e-09,0.000942994,1.10341e-06,0.00155605,3.15751e-05,0.000117416,3.3966e-07,1.86799e-07,8.70939e-07,1.47e-06,3.96023e-10,1.26894e-19,1.19162e-07,8.92902e-08,1.69668e-12,3.10876e-11,2.15438e-19,8.80243e-17,1.25169e-20,0,0,0,1.84575e-20,4.88782e-32,0.677476
0.0632422,1493.56,1352.03,0.524988,8.92374e+07,0.0135923,0.000205205,3.68528e-05,0.020941,0.000196924,0.272092,9.15239e-06,3.9463e-07,2.63912e-14,7.88252e-06,2.65012e-05,0.000287765,0.0118632,5.50953e-09,0.000957913,1.00337e-06,0.00151325,2.99714e-05,0.000105453,3.07397e-07,1.68188e-07,7.71412e-07,1.27994e-06,3.93518e-10,1.27127e-19,1.03831e-07,9.66121e-08,1.8342e-12,2.7663e-11,1.777e-19,8.73735e-17,1.25154e-20,0,0,0,1.84584e-20,5.14061e-32,0.67813
0.0632813,1494.43,1352.54,0.525405,8.97136e+07,0.0132628,0.000218821,3.85106e-05,0.0197564,0.000213826,0.274103,8.68488e-06,3.47108e-07,2.76362e-14,8.55597e-06,2.65588e-05,0.000276891,0.0107592,5.26667e-09,0.000973206,9.12753e-07,0.00146776,2.83406e-05,9.39524e-05,2.7597e-07,1.5028e-07,6.78274e-07,1.10849e-06,3.94367e-10,1.27352e-19,8.9945e-08,1.04801e-07,1.98163e-12,2.46431e-11,1.46782e-19,8.67072e-17,1.2514e-20,0,0,0,1.8458e-20,5.25261e-32,0.67876
0.0633203,1495.09,1353.06,0.525744,8.99182e+07,0.0129296,0.000233233,4.02141e-05,0.0186118,0.000232132,0.27604,8.22998e-06,3.07665e-07,2.88137e-14,9.23031e-06,2.64707e-05,0.00026524,0.00971796,5.00013e-09,0.000988868,8.3112e-07,0.00141973,2.66917e-05,8.29987e-05,2.45675e-07,1.33221e-07,5.91778e-07,9.54834e-07,3.98275e-10,1.27569e-19,7.7457e-08,1.13952e-07,2.13881e-12,2.19907e-11,1.21503e-19,8.60266e-17,1.25128e-20,0,0,0,1.84591e-20,5.52962e-32,0.679364
0.0633594,1495.52,1353.58,0.525999,8.98128e+07,0.0125935,0.000248412,4.19551e-05,0.0175093,0.000251871,0.277902,7.78888e-06,2.75856e-07,2.98988e-14,9.88841e-06,2.62251e-05,0.000252868,0.00874048,4.71272e-09,0.00100489,7.57975e-07,0.00136932,2.5034e-05,7.26705e-05,2.16784e-07,1.17137e-07,5.12117e-07,8.18019e-07,4.04959e-10,1.27779e-19,6.63062e-08,1.24167e-07,2.30541e-12,1.96709e-11,1.00973e-19,8.53325e-17,1.25115e-20,0,0,0,1.84588e-20,5.66445e-32,0.679941
0.0633984,1495.72,1354.1,0.526166,8.93625e+07,0.0122555,0.000264312,4.37244e-05,0.0164508,0.000273056,0.279685,7.36268e-06,2.51231e-07,3.08656e-14,1.05102e-05,2.58138e-05,0.000239852,0.00782748,4.40824e-09,0.00102126,6.9279e-07,0.00131674,2.33779e-05,6.30358e-05,1.89545e-07,1.02131e-07,4.3941e-07,6.97003e-07,4.14142e-10,1.27981e-19,5.6423e-08,1.35557e-07,2.48088e-12,1.76503e-11,8.42982e-20,8.4626e-17,1.25105e-20,0,0,0,1.84601e-20,5.97444e-32,0.68049
0.0634375,1495.67,1354.62,0.526241,8.85373e+07,0.0119166,0.000280868,4.55117e-05,0.0154378,0.000295669,0.281388,6.95239e-06,2.33377e-07,3.16914e-14,1.10741e-05,2.52333e-05,0.00022629,0.00697916,4.09114e-09,0.00103794,6.35039e-07,0.00126226,2.17336e-05,5.4149e-05,1.64165e-07,8.82828e-08,3.73689e-07,5.90704e-07,4.25553e-10,1.28177e-19,4.77289e-08,1.48233e-07,2.66446e-12,1.58984e-11,7.08478e-20,8.3908e-17,1.25096e-20,0,0,0,1.84599e-20,6.14724e-32,0.681009
0.0634766,1495.37,1355.14,0.526221,8.73146e+07,0.0115778,0.000297995,4.73069e-05,0.0144717,0.000319667,0.283008,6.55889e-06,2.21876e-07,3.23542e-14,1.15572e-05,2.44854e-05,0.0002123,0.00619521,3.76695e-09,0.00105491,5.84166e-07,0.00120618,2.01117e-05,4.60486e-05,1.40805e-07,7.5641e-08,3.14884e-07,4.97949e-07,4.3893e-10,1.28366e-19,4.01382e-08,1.62315e-07,2.85517e-12,1.43861e-11,5.9977e-20,8.31795e-17,1.25088e-20,0,0,0,1.84612e-20,6.49197e-32,0.681498
0.0635156,1494.81,1355.66,0.526106,8.56805e+07,0.0112403,0.000315588,4.90988e-05,0.0135534,0.000344972,0.284545,6.18288e-06,2.16355e-07,3.28384e-14,1.19381e-05,2.35771e-05,0.000198013,0.00547479,3.44093e-09,0.00107209,5.39651e-07,0.00114882,1.85228e-05,3.87562e-05,1.19572e-07,6.42286e-08,2.62838e-07,4.17592e-07,4.5402e-10,1.2855e-19,3.35622e-08,1.77909e-07,3.05185e-12,1.30877e-11,5.12574e-20,8.24417e-17,1.2508e-20,0,0,0,1.84611e-20,6.66456e-32,0.681957
0.0635547,1493.99,1356.18,0.525895,8.36315e+07,0.0109052,0.000333519,5.08774e-05,0.0126836,0.000371468,0.285998,5.82496e-06,2.16435e-07,3.31315e-14,1.21968e-05,2.25215e-05,0.000183576,0.00481655,3.11936e-09,0.00108943,5.00954e-07,0.00109056,1.6977e-05,3.22744e-05,1.00518e-07,5.40394e-08,2.17276e-07,3.4842e-07,4.70571e-10,1.28728e-19,2.79069e-08,1.9513e-07,3.25314e-12,1.19792e-11,4.42387e-20,8.16955e-17,1.25074e-20,0,0,0,1.84625e-20,7.04234e-32,0.682385
0.0635938,1492.92,1356.69,0.525587,8.11762e+07,0.0105737,0.000351645,5.26322e-05,0.0118626,0.000399004,0.287368,5.48547e-06,2.21776e-07,3.32292e-14,1.23183e-05,2.1336e-05,0.000169138,0.00421865,2.80711e-09,0.00110681,4.67599e-07,0.00103177,1.54839e-05,2.6589e-05,8.36403e-08,4.50457e-08,1.77861e-07,2.89312e-07,4.88339e-10,1.289e-19,2.30817e-08,2.14063e-07,3.45752e-12,1.10396e-11,3.86435e-20,8.09422e-17,1.25069e-20,0,0,0,1.84624e-20,7.24141e-32,0.682784
0.0636328,1491.6,1357.21,0.525187,7.83355e+07,0.010247,0.000369799,5.4354e-05,0.0110902,0.000427384,0.288654,5.16466e-06,2.32025e-07,3.31324e-14,1.22922e-05,2.00435e-05,0.000154853,0.00367878,2.50994e-09,0.00112412,4.39096e-07,0.000972856,1.40522e-05,2.16679e-05,6.88818e-08,3.71944e-08,1.44152e-07,2.39108e-07,5.07081e-10,1.29068e-19,1.89935e-08,2.34788e-07,3.66329e-12,1.02495e-11,3.41685e-20,8.01828e-17,1.25065e-20,0,0,0,1.84639e-20,7.65335e-32,0.683152
0.0636719,1490.03,1357.73,0.524695,7.51429e+07,0.00992639,0.000387801,5.60333e-05,0.010366,0.000456379,0.289858,4.86254e-06,2.46846e-07,3.28492e-14,1.21155e-05,1.86689e-05,0.000140868,0.00319423,2.23117e-09,0.00114122,4.15025e-07,0.000914229,1.26896e-05,1.74672e-05,5.61487e-08,3.04208e-08,1.15685e-07,1.96779e-07,5.26557e-10,1.29231e-19,1.55568e-08,2.5734e-07,3.86865e-12,9.59278e-12,3.06387e-20,7.94186e-17,1.25061e-20,0,0,0,1.84639e-20,7.90373e-32,0.683491
0.0637109,1488.24,1358.25,0.524118,7.16437e+07,0.00961282,0.000405458,5.7662e-05,0.00968919,0.00048572,0.290983,4.57903e-06,2.65879e-07,3.2394e-14,1.17918e-05,1.72408e-05,0.000127325,0.00276192,1.97496e-09,0.00115796,3.94952e-07,0.000856286,1.14024e-05,1.39289e-05,4.53013e-08,2.4641e-08,9.19182e-08,1.61281e-07,5.46531e-10,1.2939e-19,1.26856e-08,2.81737e-07,4.07166e-12,9.05405e-12,2.78525e-20,7.86507e-17,1.25059e-20,0,0,0,1.84653e-20,8.33071e-32,0.683803
0.06375,1486.24,1358.77,0.523461,6.78933e+07,0.0093074,0.000422572,5.92309e-05,0.00905873,0.000515112,0.29203,4.31381e-06,2.88754e-07,3.1785e-14,1.13321e-05,1.57865e-05,0.000114346,0.00237852,1.74246e-09,0.00117417,3.78518e-07,0.000799412,1.01957e-05,1.09905e-05,3.61852e-08,1.97692e-08,7.23364e-08,1.31727e-07,5.66771e-10,1.29545e-19,1.03054e-08,3.0793e-07,4.27033e-12,8.62073e-12,2.57036e-20,7.78804e-17,1.25056e-20,0,0,0,1.84654e-20,8.59039e-32,0.684087
0.0637891,1484.04,1359.29,0.522731,6.39555e+07,0.00901108,0.000438941,6.07318e-05,0.00847319,0.000544231,0.293002,4.06653e-06,3.15057e-07,3.10462e-14,1.0754e-05,1.43347e-05,0.000102043,0.00204049,1.53563e-09,0.00118971,3.65343e-07,0.000743966,9.07301e-06,8.58168e-06,2.8616e-08,1.5707e-08,5.63775e-08,1.07232e-07,5.87054e-10,1.29695e-19,8.34239e-09,3.35845e-07,4.46261e-12,8.28081e-12,2.40607e-20,7.7109e-17,1.25056e-20,0,0,0,1.84668e-20,8.98442e-32,0.684346
0.0638281,1481.66,1359.81,0.521934,5.98983e+07,0.00872468,0.00045437,6.21546e-05,0.00793093,0.000572751,0.293902,3.8366e-06,3.44351e-07,3.02004e-14,1.0079e-05,1.29098e-05,9.04973e-05,0.00174417,1.35358e-09,0.0012044,3.55115e-07,0.000690275,8.03646e-06,6.63464e-06,2.24163e-08,1.23627e-08,4.35473e-08,8.70713e-08,6.07167e-10,1.29842e-19,6.73518e-09,3.65334e-07,4.64648e-12,8.02438e-12,2.2859e-20,7.63377e-17,1.25055e-20,0,0,0,1.84668e-20,9.15738e-32,0.684581
0.0638672,1479.14,1360.33,0.52108,5.57928e+07,0.00844892,0.000468675,6.34896e-05,0.00743008,0.00060033,0.294734,3.62344e-06,3.76142e-07,2.92751e-14,9.33299e-06,1.15354e-05,7.97781e-05,0.00148584,1.19628e-09,0.00121812,3.47495e-07,0.000638624,7.08639e-06,5.07976e-06,1.73949e-08,9.63859e-09,3.33331e-08,7.05321e-08,6.26916e-10,1.29986e-19,5.42423e-09,3.96217e-07,4.81995e-12,7.8417e-12,2.20118e-20,7.5568e-17,1.25055e-20,0,0,0,1.84682e-20,9.55983e-32,0.684794
0.0639062,1476.48,1360.84,0.520176,5.17066e+07,0.00818436,0.000481693,6.47243e-05,0.0069686,0.000626652,0.295503,3.42626e-06,4.09913e-07,2.82916e-14,8.54143e-06,1.02292e-05,6.9921e-05,0.00126185,1.06141e-09,0.00123076,3.42204e-07,0.000589251,6.22229e-06,3.85486e-06,1.33819e-08,7.44838e-09,2.53125e-08,5.70527e-08,6.46128e-10,1.30126e-19,4.36206e-09,4.28254e-07,4.98123e-12,7.7246e-12,2.14795e-20,7.48012e-17,1.25056e-20,0,0,0,1.84683e-20,9.73813e-32,0.684986
0.0639453,1473.73,1361.36,0.519231,4.77045e+07,0.0079314,0.000493286,6.58469e-05,0.00654433,0.000651408,0.296211,3.24433e-06,4.451e-07,2.72742e-14,7.73106e-06,9.00662e-06,6.09489e-05,0.0010686,9.47545e-10,0.00124223,3.38939e-07,0.000542344,5.44188e-06,2.90014e-06,1.02064e-08,5.70448e-09,1.90658e-08,4.6087e-08,6.64654e-10,1.30262e-19,3.50332e-09,4.6117e-07,5.12865e-12,7.66476e-12,2.12035e-20,7.40387e-17,1.25057e-20,0,0,0,1.84696e-20,1.01094e-31,0.685159
0.0639844,1470.89,1361.88,0.518254,4.38412e+07,0.0076903,0.000503344,6.68434e-05,0.00615499,0.000674341,0.296863,3.07674e-06,4.81137e-07,2.62384e-14,6.92402e-06,7.87679e-06,5.28542e-05,0.000902672,8.51822e-10,0.00125249,3.37448e-07,0.000498043,4.74228e-06,2.16553e-06,7.72599e-09,4.33427e-09,1.42662e-08,3.72181e-08,6.82376e-10,1.30396e-19,2.81306e-09,4.94664e-07,5.26086e-12,7.65503e-12,2.11573e-20,7.32819e-17,1.25058e-20,0,0,0,1.84697e-20,1.02388e-31,0.685315
0.0640234,1468,1362.4,0.517253,4.0164e+07,0.00746118,0.000511791,6.7701e-05,0.00579828,0.000695219,0.297463,2.92264e-06,5.17437e-07,2.52016e-14,6.14135e-06,6.84652e-06,4.56193e-05,0.000760834,7.72244e-10,0.00126154,3.37454e-07,0.000456433,4.11925e-06,1.60523e-06,5.80447e-09,3.26679e-09,1.06004e-08,3.00465e-08,6.99207e-10,1.30527e-19,2.25838e-09,5.28413e-07,5.37674e-12,7.688e-12,2.12993e-20,7.25321e-17,1.2506e-20,0,0,0,1.84709e-20,1.05479e-31,0.685455
0.0640625,1465.07,1362.92,0.516237,3.67069e+07,0.00724401,0.000518585,6.84067e-05,0.00547187,0.000713877,0.298015,2.78105e-06,5.53448e-07,2.41723e-14,5.39768e-06,5.91709e-06,3.92035e-05,0.000640082,7.0606e-10,0.00126939,3.38736e-07,0.000417556,3.56828e-06,1.18289e-06,4.33413e-09,2.44589e-09,7.83732e-09,2.42759e-08,7.1509e-10,1.30655e-19,1.81479e-09,5.62102e-07,5.47563e-12,7.75714e-12,2.16096e-20,7.17909e-17,1.25062e-20,0,0,0,1.8471e-20,1.05999e-31,0.685582
0.0641016,1462.12,1363.44,0.515211,3.3495e+07,0.00703862,0.00052372,6.89498e-05,0.00517346,0.00073019,0.298523,2.65112e-06,5.88628e-07,2.31605e-14,4.70561e-06,5.08809e-06,3.35609e-05,0.000537655,6.51296e-10,0.0012761,3.41051e-07,0.000381407,3.08401e-06,8.66631e-07,3.21589e-09,1.81862e-09,5.76151e-09,1.9626e-08,7.29999e-10,1.3078e-19,1.45954e-09,5.95406e-07,5.55709e-12,7.85572e-12,2.20567e-20,7.10593e-17,1.25065e-20,0,0,0,1.84721e-20,1.08274e-31,0.685695
0.0641406,1459.18,1363.96,0.514184,3.05405e+07,0.00684474,0.000527218,6.93212e-05,0.00490079,0.000744099,0.298991,2.53186e-06,6.22508e-07,2.21691e-14,4.07146e-06,4.35522e-06,2.86314e-05,0.000451062,6.05728e-10,0.00128175,3.44211e-07,0.000347946,2.66104e-06,6.32269e-07,2.37516e-09,1.34532e-09,4.22157e-09,1.58939e-08,7.43933e-10,1.30903e-19,1.17606e-09,6.28051e-07,5.62115e-12,7.97783e-12,2.2624e-20,7.03388e-17,1.25067e-20,0,0,0,1.84723e-20,1.08288e-31,0.685798
0.0641797,1456.25,1364.48,0.513161,2.7848e+07,0.00666201,0.000529132,6.95155e-05,0.00465168,0.000755588,0.299422,2.42243e-06,6.54657e-07,2.12026e-14,3.49982e-06,3.71334e-06,2.43546e-05,0.000378061,5.67748e-10,0.00128642,3.48015e-07,0.000317098,2.29362e-06,4.59324e-07,1.74552e-09,9.89631e-10,3.07971e-09,1.28895e-08,7.56916e-10,1.31023e-19,9.49178e-10,6.5976e-07,5.66803e-12,8.11752e-12,2.32865e-20,6.96305e-17,1.25071e-20,0,0,0,1.84732e-20,1.1032e-31,0.68589
0.0642187,1453.36,1364.91,0.512147,2.54121e+07,0.00648999,0.000529538,6.95304e-05,0.00442407,0.000764696,0.299819,2.32192e-06,6.84738e-07,2.02609e-14,2.99056e-06,3.15513e-06,2.06642e-05,0.000316672,5.35746e-10,0.00129021,3.52311e-07,0.000288765,1.9762e-06,3.32845e-07,1.27886e-09,7.25481e-10,2.24304e-09,1.04782e-08,7.68986e-10,1.31141e-19,7.68067e-10,6.90328e-07,5.69841e-12,8.26964e-12,2.40297e-20,6.89355e-17,1.25073e-20,0,0,0,1.84734e-20,1.10132e-31,0.685974
0.0642578,1450.52,1365.25,0.511147,2.32231e+07,0.00632817,0.000528531,6.93673e-05,0.00421599,0.0007715,0.300187,2.22954e-06,7.12463e-07,1.93456e-14,2.54266e-06,2.67325e-06,1.74972e-05,0.000265152,5.0856e-10,0.00129324,3.56944e-07,0.000262827,1.70325e-06,2.40503e-07,9.3346e-10,5.29507e-10,1.62847e-09,8.53461e-09,7.80199e-10,1.31257e-19,6.2288e-10,7.19545e-07,5.713e-12,8.42915e-12,2.48334e-20,6.82548e-17,1.25077e-20,0,0,0,1.84742e-20,1.11689e-31,0.68605
0.0642969,1447.73,1365.58,0.510165,2.12648e+07,0.00617601,0.000526222,6.90307e-05,0.0040256,0.000776113,0.300526,2.14448e-06,7.37641e-07,1.84558e-14,2.15215e-06,2.25951e-06,1.47907e-05,0.000221988,4.85123e-10,0.0012956,3.61798e-07,0.000239153,1.46961e-06,1.73576e-07,6.80173e-10,3.85721e-10,1.18207e-09,6.97127e-09,7.90616e-10,1.3137e-19,5.06684e-10,7.47284e-07,5.7129e-12,8.59183e-12,2.56847e-20,6.75892e-17,1.2508e-20,0,0,0,1.84743e-20,1.11213e-31,0.686119
0.0643359,1445,1365.92,0.509204,1.95197e+07,0.00603295,0.000522728,6.85286e-05,0.0038512,0.000778671,0.300842,2.06604e-06,7.60127e-07,1.7592e-14,1.81503e-06,1.90628e-06,1.24873e-05,0.000185867,4.64666e-10,0.0012974,3.66759e-07,0.000217603,1.27035e-06,1.24998e-07,4.94135e-10,2.79988e-10,8.5598e-10,5.70724e-09,8.00303e-10,1.31481e-19,4.13203e-10,7.73407e-07,5.69914e-12,8.75363e-12,2.65673e-20,6.69395e-17,1.25083e-20,0,0,0,1.8475e-20,1.12312e-31,0.686182
0.064375,1442.35,1366.26,0.508267,1.79671e+07,0.00589842,0.000518174,6.78711e-05,0.00369124,0.00077933,0.301134,1.99354e-06,7.79852e-07,1.67537e-14,1.52589e-06,1.60591e-06,1.05329e-05,0.000155666,4.46519e-10,0.00129874,3.71743e-07,0.000198032,1.10106e-06,8.98423e-08,3.58244e-10,2.02864e-10,6.19728e-10,4.68592e-09,8.09326e-10,1.3159e-19,3.38014e-10,7.9785e-07,5.67301e-12,8.9112e-12,2.74696e-20,6.63063e-17,1.25087e-20,0,0,0,1.84752e-20,1.11707e-31,0.68624
0.0644531,1437.27,1366.93,0.50647,1.53864e+07,0.00565302,0.000506252,6.61246e-05,0.00341008,0.000775423,0.301659,1.86452e-06,8.10896e-07,1.51497e-14,1.07644e-06,1.14288e-06,7.52718e-06,0.000110115,4.15653e-10,0.00130024,3.81514e-07,0.000164374,8.40072e-07,4.76226e-08,1.92064e-10,1.08352e-10,3.31223e-10,3.20961e-09,8.25595e-10,1.31802e-19,2.30034e-10,8.41332e-07,5.58704e-12,9.20392e-12,2.92918e-20,6.50904e-17,1.25093e-20,0,0,0,1.84758e-20,1.11727e-31,0.686341
0.0645313,1432.53,1367.61,0.504786,1.33387e+07,0.00543484,0.000491582,6.3931e-05,0.00316987,0.00076606,0.302119,1.75214e-06,8.3167e-07,1.36498e-14,7.55319e-07,8.12824e-07,5.38251e-06,7.81868e-05,3.89354e-10,0.00130078,3.90713e-07,0.000136704,6.53582e-07,2.5304e-08,1.02921e-10,5.78203e-11,1.77421e-10,2.22331e-09,8.40016e-10,1.32007e-19,1.58487e-10,8.78022e-07,5.4668e-12,9.45442e-12,3.10808e-20,6.39414e-17,1.251e-20,0,0,0,1.84765e-20,1.11714e-31,0.686427
0.0646094,1428.12,1368.28,0.503218,1.16991e+07,0.00523991,0.000475026,6.14136e-05,0.00296275,0.00075256,0.302526,1.65312e-06,8.43234e-07,1.22589e-14,5.2866e-07,5.7881e-07,3.85672e-06,5.57736e-05,3.66148e-10,0.00130075,3.99124e-07,0.000114013,5.2095e-07,1.35352e-08,5.53643e-11,3.09614e-11,9.56307e-11,1.55772e-09,8.5297e-10,1.32204e-19,1.1058e-10,9.08196e-07,5.32136e-12,9.65471e-12,3.27884e-20,6.28598e-17,1.25107e-20,0,0,0,1.84772e-20,1.11621e-31,0.686503
0.0646875,1424.05,1368.95,0.501767,1.03685e+07,0.00506479,0.000457306,5.86876e-05,0.00278247,0.000736086,0.302888,1.5649e-06,8.46871e-07,1.09808e-14,3.69881e-07,4.1326e-07,2.7716e-06,3.99858e-05,3.45176e-10,0.0013004,4.06645e-07,9.54187e-05,4.26776e-07,7.30327e-09,2.99556e-11,1.66724e-11,5.19365e-11,1.10331e-09,8.64745e-10,1.32394e-19,7.81079e-11,9.32305e-07,5.15853e-12,9.80184e-12,3.43821e-20,6.18449e-17,1.25113e-20,0,0,0,1.84779e-20,1.11463e-31,0.686569
0.0647656,1420.3,1369.63,0.500431,9.27159e+06,0.00490652,0.000439005,5.58523e-05,0.00262406,0.000717617,0.303214,1.48547e-06,8.43913e-07,9.8169e-15,2.59026e-07,2.96044e-07,1.99807e-06,2.8805e-05,3.25943e-10,0.0012999,4.13247e-07,8.01776e-05,3.59802e-07,3.97293e-09,1.62977e-11,9.02858e-12,2.84019e-11,7.89242e-10,8.75553e-10,1.32578e-19,5.58113e-11,9.50884e-07,4.98474e-12,9.89654e-12,3.58421e-20,6.0895e-17,1.2512e-20,0,0,0,1.84786e-20,1.11342e-31,0.686628
0.0648438,1416.88,1370.3,0.499205,8.35217e+06,0.00476263,0.000420573,5.29883e-05,0.00248365,0.000697937,0.303508,1.41331e-06,8.35626e-07,8.76549e-15,1.81517e-07,2.1269e-07,1.44371e-06,2.0825e-05,3.08157e-10,0.00129936,4.18945e-07,6.76719e-05,3.11904e-07,2.15649e-09,8.83853e-12,4.88139e-12,1.55387e-11,5.69176e-10,8.85535e-10,1.32755e-19,4.02794e-11,9.64503e-07,4.80513e-12,9.94173e-12,3.71568e-20,6.0008e-17,1.25126e-20,0,0,0,1.84792e-20,1.11252e-31,0.686681
0.065,1410.91,1371.65,0.497069,6.91227e+06,0.00451162,0.0003843,4.73531e-05,0.00224743,0.000656718,0.304017,1.28727e-06,8.06376e-07,6.97356e-15,9.38393e-08,1.15917e-07,7.94751e-07,1.1519e-05,2.76314e-10,0.00129831,4.27672e-07,4.93474e-05,2.55653e-07,7.35935e-10,2.96427e-12,1.62091e-12,5.24818e-12,3.17385e-10,9.03317e-10,1.3309e-19,2.26155e-11,9.78208e-07,4.44021e-12,9.89355e-12,3.93114e-20,5.84142e-17,1.25138e-20,0,0,0,1.84804e-20,1.11111e-31,0.686772
0.0651562,1405.94,1373,0.49528,5.81237e+06,0.00429709,0.000350417,4.2134e-05,0.00205171,0.000616139,0.304449,1.17822e-06,7.67871e-07,5.55395e-15,4.9793e-08,6.50823e-08,4.48002e-07,6.54006e-06,2.48612e-10,0.00129746,4.33512e-07,3.6614e-05,2.25152e-07,2.61608e-10,1.02757e-12,5.59054e-13,1.836e-12,1.84666e-10,9.18771e-10,1.33404e-19,1.33658e-11,9.79017e-07,4.08855e-12,9.70812e-12,4.09108e-20,5.70161e-17,1.25148e-20,0,0,0,1.84816e-20,1.11004e-31,0.686849
0.0653125,1401.78,1373.91,0.493784,4.94469e+06,0.00411074,0.000319568,3.74501e-05,0.00188605,0.000577741,0.304822,1.08242e-06,7.24931e-07,4.44115e-15,2.72632e-08,3.77615e-08,2.58546e-07,3.80876e-06,2.24509e-10,0.00129682,4.36992e-07,2.76294e-05,2.07741e-07,9.77261e-11,3.71283e-13,2.01954e-13,6.68503e-13,1.124e-10,9.32122e-10,1.33696e-19,8.34332e-12,9.70421e-07,3.76032e-12,9.42452e-12,4.20182e-20,5.57876e-17,1.25158e-20,0,0,0,1.84827e-20,1.10937e-31,0.686915
0.0654687,1398.33,1374.66,0.492537,4.24493e+06,0.00394678,0.000291878,3.33217e-05,0.00174352,0.000542212,0.305146,9.97383e-07,6.80633e-07,3.57253e-15,1.54651e-08,2.27057e-08,1.52634e-07,2.27216e-06,2.03536e-10,0.00129634,4.3855e-07,2.11884e-05,1.97052e-07,3.84502e-11,1.40022e-13,7.65757e-14,2.52746e-13,7.1852e-11,9.43502e-10,1.33969e-19,5.52046e-12,9.55014e-07,3.45949e-12,9.07445e-12,4.26993e-20,5.47052e-17,1.25167e-20,0,0,0,1.84838e-20,1.10892e-31,0.686973
0.065625,1395.48,1375.4,0.491505,3.67186e+06,0.00380104,0.000267213,2.97188e-05,0.00161937,0.000509753,0.305432,9.21361e-07,6.36857e-07,2.89432e-15,9.11843e-09,1.41837e-08,9.20296e-08,1.38564e-06,1.85271e-10,0.00129598,4.38551e-07,1.64975e-05,1.89861e-07,1.59351e-11,5.50864e-14,3.04852e-14,9.88364e-14,4.84441e-11,9.53013e-10,1.34224e-19,3.87929e-12,9.34762e-07,3.18665e-12,8.68263e-12,4.30179e-20,5.37486e-17,1.25175e-20,0,0,0,1.84847e-20,1.10864e-31,0.687024
0.0657813,1393.14,1376.14,0.490655,3.19743e+06,0.00367042,0.000245322,2.65899e-05,0.00151022,0.000480294,0.305684,8.5309e-07,5.94725e-07,2.36309e-15,5.59936e-09,9.2175e-09,5.64891e-08,8.60691e-07,1.69335e-10,0.00129571,4.37308e-07,1.30289e-05,1.84522e-07,6.93975e-12,2.25512e-14,1.27127e-14,3.96652e-14,3.45331e-11,9.60762e-10,1.34462e-19,2.89069e-12,9.11216e-07,2.94069e-12,8.26829e-12,4.30366e-20,5.29009e-17,1.25183e-20,0,0,0,1.84856e-20,1.10845e-31,0.68707
0.0659375,1391.24,1376.89,0.489959,2.80176e+06,0.00355257,0.000225916,2.3877e-05,0.00141359,0.000453639,0.30591,7.91615e-07,5.54883e-07,1.94485e-15,3.57502e-09,6.22187e-09,3.50229e-08,5.40201e-07,1.55394e-10,0.00129549,4.35096e-07,1.04271e-05,1.80184e-07,3.11612e-12,9.43531e-15,5.46326e-15,1.59647e-14,2.59774e-11,9.66868e-10,1.34684e-19,2.26996e-12,8.85613e-07,2.7197e-12,7.84632e-12,4.28161e-20,5.21481e-17,1.2519e-20,0,0,0,1.84864e-20,1.10832e-31,0.687111
