x (m),Temperature (K),Tw(K),Velocity (m/s),Heat Release Rate (J/s/m3),X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_OHV,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_NO,X_NO2,X_N2O,X_HNO,X_N2H2,X_H2NN,X_N2H3,X_N2H4,X_H2NO,X_HNO2,X_HONO2,X_HNOH,X_HONO,X_HON,X_NO3,X_N2O4,X_N2O3,X_CO,X_CO2,X_CH4,X_C2H6,X_HE,X_AR,X_N2
0.06,1303.56,1271.9,0.445138,2.38956e+07,0.0179996,1.00977e-05,2.70313e-06,0.127601,5.03598e-06,0.0734501,2.96657e-05,6.85842e-05,1.16316e-16,2.66265e-08,2.80553e-06,0.000255606,0.154101,2.57949e-09,0.000327419,2.0808e-05,0.00071887,3.24388e-05,0.000509787,7.70114e-07,3.61929e-07,2.13304e-05,4.19177e-05,1.50478e-08,6.96803e-20,2.10452e-06,1.10979e-07,3.78565e-14,1.60853e-09,1.26071e-16,3.73679e-17,1.28736e-20,0,0,0,1.87464e-20,3.08696e-33,0.624798
0.0601562,1313.23,1277.45,0.449073,2.60605e+07,0.018557,1.12989e-05,3.04541e-06,0.124059,5.71863e-06,0.0804565,3.01605e-05,6.11021e-05,1.57808e-16,3.29829e-08,3.14502e-06,0.000267434,0.148493,2.81486e-09,0.000348191,2.03729e-05,0.000796162,3.47022e-05,0.000518027,8.14372e-07,3.88856e-07,2.00202e-05,4.07424e-05,1.43679e-08,7.34339e-20,2.11012e-06,1.01999e-07,4.43437e-14,1.58371e-09,1.17296e-16,4.24785e-17,1.28534e-20,0,0,0,1.8723e-20,3.66594e-33,0.62627
0.0603125,1322.91,1282.36,0.453032,2.83266e+07,0.0190743,1.26333e-05,3.42488e-06,0.120302,6.49297e-06,0.0878614,3.05434e-05,5.41088e-05,2.12561e-16,4.08403e-08,3.51892e-06,0.000279149,0.142615,3.06042e-09,0.000369633,1.98242e-05,0.000877449,3.69997e-05,0.000524598,8.57034e-07,4.15995e-07,1.86976e-05,3.93776e-05,1.35626e-08,7.72287e-20,2.10256e-06,9.33471e-08,5.18366e-14,1.54279e-09,1.07853e-16,4.785e-17,1.28328e-20,0,0,0,1.86999e-20,4.33125e-33,0.627867
0.0604688,1332.58,1287.02,0.457014,3.06874e+07,0.0195451,1.41176e-05,3.84524e-06,0.116328,7.37353e-06,0.0956613,3.08024e-05,4.76175e-05,2.84341e-16,5.05762e-08,3.93057e-06,0.000290678,0.136474,3.31523e-09,0.000391723,1.91645e-05,0.000962292,3.93097e-05,0.000529343,8.97478e-07,4.43037e-07,1.73741e-05,3.7829e-05,1.26573e-08,8.10408e-20,2.08108e-06,8.50921e-08,6.04875e-14,1.48621e-09,9.79336e-17,5.34083e-17,1.2812e-20,0,0,0,1.86773e-20,5.09983e-33,0.629592
0.060625,1342.26,1291.69,0.46102,3.31352e+07,0.0199633,1.57715e-05,4.31072e-06,0.11214,8.37806e-06,0.103849,3.09253e-05,4.16252e-05,3.77905e-16,6.26773e-08,4.38385e-06,0.000301944,0.130082,3.5781e-09,0.000414434,1.83979e-05,0.00105011,4.1607e-05,0.000532096,9.35011e-07,4.69615e-07,1.60584e-05,3.61036e-05,1.1677e-08,8.48445e-20,2.04507e-06,7.72891e-08,7.04745e-14,1.41482e-09,8.77364e-17,5.90621e-17,1.27909e-20,0,0,0,1.86552e-20,5.97774e-33,0.631446
0.0607812,1351.94,1296.35,0.465047,3.5659e+07,0.0203221,1.7618e-05,4.82593e-06,0.10774,9.52773e-06,0.112416,3.08996e-05,3.61238e-05,4.99144e-16,7.77724e-08,4.88298e-06,0.000312851,0.12345,3.84738e-09,0.000437727,1.75297e-05,0.00114018,4.38601e-05,0.000532669,9.6885e-07,4.9526e-07,1.4759e-05,3.42105e-05,1.06456e-08,8.86131e-20,1.99408e-06,6.99911e-08,8.20058e-14,1.32995e-09,7.74657e-17,6.47046e-17,1.27698e-20,0,0,0,1.86338e-20,6.99174e-33,0.63343
0.0609375,1361.62,1301.01,0.469091,3.8245e+07,0.0206153,1.96843e-05,5.39582e-06,0.103133,1.08481e-05,0.121347,3.0713e-05,3.11039e-05,6.55257e-16,9.66803e-08,5.43246e-06,0.000323286,0.116596,4.12087e-09,0.00046155,1.6567e-05,0.00123159,4.60301e-05,0.000530858,9.9812e-07,5.1939e-07,1.34849e-05,3.21618e-05,9.58605e-09,9.23193e-20,1.9278e-06,6.32477e-08,9.53264e-14,1.23335e-09,6.73258e-17,7.02168e-17,1.27487e-20,0,0,0,1.86131e-20,8.15031e-33,0.635547
0.0610938,1371.27,1305.68,0.473139,4.08764e+07,0.0208362,2.20031e-05,6.02582e-06,0.0983253,1.23704e-05,0.130625,3.0354e-05,2.65546e-05,8.5492e-16,1.20481e-07,6.03723e-06,0.000333112,0.109537,4.39579e-09,0.000485841,1.55185e-05,0.00132327,4.80706e-05,0.000526445,1.02188e-06,5.41301e-07,1.22449e-05,2.99728e-05,8.52001e-09,9.59357e-20,1.84619e-06,5.71054e-08,1.1073e-13,1.12722e-09,5.75143e-17,7.54721e-17,1.27277e-20,0,0,0,1.85933e-20,9.49893e-33,0.637795
0.06125,1380.85,1310.05,0.477177,4.35356e+07,0.0209786,2.46153e-05,6.72216e-06,0.0933245,1.41338e-05,0.14023,2.9813e-05,2.24625e-05,1.10844e-15,1.50625e-07,6.70291e-06,0.000342179,0.102296,4.66884e-09,0.000510539,1.43953e-05,0.00141398,4.99288e-05,0.000519207,1.03914e-06,5.60178e-07,1.10475e-05,2.76626e-05,7.46751e-09,9.94358e-20,1.74954e-06,5.16093e-08,1.2858e-13,1.01415e-09,4.82141e-17,8.03432e-17,1.27069e-20,0,0,0,1.85745e-20,1.10526e-32,0.640174
0.0614062,1390.34,1313.82,0.481195,4.62086e+07,0.021036,2.75748e-05,7.49293e-06,0.0881398,1.61907e-05,0.150137,2.90834e-05,1.88083e-05,1.42843e-15,1.89124e-07,7.43694e-06,0.000350343,0.0948973,4.93676e-09,0.00053561,1.32102e-05,0.0015023,5.15491e-05,0.000508927,1.04898e-06,5.75158e-07,9.89957e-06,2.52537e-05,6.44665e-09,1.02794e-19,1.63859e-06,4.67981e-08,1.49352e-13,8.97004e-10,3.95824e-17,8.47108e-17,1.26864e-20,0,0,0,1.85568e-20,1.28804e-32,0.642683
0.0615625,1399.77,1317.59,0.485197,4.88905e+07,0.0210024,3.09566e-05,8.3499e-06,0.0827819,1.86151e-05,0.160319,2.81623e-05,1.55654e-05,1.83147e-15,2.38852e-07,8.25015e-06,0.000357492,0.0873679,5.19688e-09,0.000561074,1.19776e-05,0.00158661,5.28768e-05,0.000495398,1.0505e-06,5.85395e-07,8.80428e-06,2.27715e-05,5.4733e-09,1.05988e-19,1.51465e-06,4.27009e-08,1.73691e-13,7.78819e-10,3.17422e-17,8.84722e-17,1.26664e-20,0,0,0,1.85402e-20,1.49974e-32,0.645318
0.0617188,1409.16,1321.35,0.489188,5.1588e+07,0.020872,3.4865e-05,9.30918e-06,0.0772628,2.15104e-05,0.170744,2.70499e-05,1.27079e-05,2.33916e-15,3.04018e-07,9.15728e-06,0.000363514,0.0797387,5.44689e-09,0.00058702,1.07136e-05,0.00166511,5.38542e-05,0.000478421,1.04285e-06,5.89995e-07,7.76429e-06,2.02449e-05,4.56145e-09,1.08996e-19,1.3794e-06,3.93557e-08,2.02514e-13,6.62591e-10,2.47866e-17,9.15484e-17,1.2647e-20,0,0,0,1.85249e-20,1.74792e-32,0.648078
0.061875,1418.53,1325.12,0.493173,5.43233e+07,0.0206392,3.94481e-05,1.03932e-05,0.0715967,2.50244e-05,0.181375,2.57495e-05,1.02117e-05,2.98039e-15,3.90952e-07,1.01782e-05,0.000368299,0.0720449,5.68486e-09,0.000613624,9.43606e-06,0.00173578,5.44192e-05,0.000457786,1.0252e-06,5.87995e-07,6.78189e-06,1.7706e-05,3.72327e-09,1.11802e-19,1.23496e-06,3.68146e-08,2.37142e-13,5.51159e-10,1.87742e-17,9.389e-17,1.26283e-20,0,0,0,1.8511e-20,2.03056e-32,0.650956
0.0620312,1427.9,1328.89,0.497156,5.71392e+07,0.0202988,4.49201e-05,1.16338e-05,0.0658007,2.93739e-05,0.192169,2.42685e-05,8.05381e-06,3.79486e-15,5.09462e-07,1.13398e-05,0.000371717,0.0643267,5.90909e-09,0.000641168,8.16392e-06,0.00179636,5.45037e-05,0.000433272,9.96689e-07,5.78354e-07,5.85893e-06,1.51907e-05,2.96904e-09,1.14394e-19,1.08388e-06,3.51537e-08,2.79549e-13,4.47092e-10,1.37271e-17,9.548e-17,1.26105e-20,0,0,0,1.84985e-20,2.34672e-32,0.653946
0.0621875,1437.29,1332.65,0.50114,6.01054e+07,0.0198458,5.15973e-05,1.30764e-05,0.0598959,3.48843e-05,0.203074,2.26185e-05,6.21255e-06,4.83827e-15,6.75186e-07,1.26774e-05,0.000373597,0.0566317,6.11759e-09,0.00067007,6.91804e-06,0.00184431,5.40322e-05,0.000404639,9.56352e-07,5.59946e-07,4.99671e-06,1.27388e-05,2.30694e-09,1.16764e-19,9.2918e-07,3.44904e-08,3.3274e-13,3.52582e-10,9.63166e-18,9.63359e-17,1.25936e-20,0,0,0,1.84876e-20,2.68096e-32,0.657037
